month,target,acquirer,sector_raw,deal_value_usdm,deal_type,stake_pct,ey_bucket,source_report,report_year
March,Checkpoint Therapeutics,Sun Pharma,Pharmaceuticals,367,Outbound,100,Lifesciences,ey_transactions_newsletter_h1_2025,2025
May-2023,Clear Medi,Morgan Stanley,Healthcare / Hospitals,"NA (INR2,000 Mn stated; no USD given)",PE Investment,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
Apr-2024,Cygnus Medicare,General Atlantic,Healthcare / Hospitals,"NA (INR4,500 Mn stated; no USD given)",PE Investment,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
Jun-2025,Felix Pharmaceuticals,Advent International,Pharmaceuticals,175,PE - Growth,NA,Lifesciences,EY India M&A Report 2026,2025
NA (up to 2010 cohort),Fortis,NA (IPO - public listing),Healthcare / Hospitals,"NA (issue size INR4,968 Mn stated; no USD given)",IPO,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
Dec-2023,Fortis-Malar,MGM,Healthcare / Hospitals (standalone hospital acquisition - South),NA,Acquisition,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
Jun-2023,Fortis-Vadaplani,Kauvery,Healthcare / Hospitals (standalone hospital acquisition - South),NA,Acquisition,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
NA (2021-2025 cohort),GPT Healthcare,NA (IPO - public listing; PE exit sponsor: Banyan Tree),Healthcare / Hospitals,"NA (issue size INR5,251 Mn stated; no USD given)",IPO,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
Feb-2025,HCG,KKR,Healthcare / Hospitals,"NA (INR34,820 Mn stated; no USD given)",PE Investment,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
NA (2016-2020 cohort),HCG,NA (IPO - public listing),Healthcare / Hospitals,"NA (issue size INR3,573 Mn stated; no USD given)",IPO,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
Feb-2025,Healthcare Global Enterprises,KKR,Healthcare,400,PE - Buyout,54,Lifesciences,EY India M&A Report 2026; Deloitte Asia Pacific PE 2026 Almanac - India Edition; ey_transactions_newsletter_h1_2025,2025
Jan-2025,Innovaccer,"B Capital Group, Banner Health, Danaher Ventures, Generation Investment Management, Kaiser Permanente and M12",Healthcare,275,PE - Growth,8,Lifesciences,EY India M&A Report 2026,2025
June,J B Chemicals & Pharmaceuticals,Torrent Pharmaceuticals,Pharmaceuticals,3001,Domestic,NA,Lifesciences,ey_transactions_newsletter_h1_2025,2025
Jun-2025,JB Chemicals & Pharmaceuticals (JB Pharma),Torrent Pharmaceuticals,Pharmaceuticals,1479,M&A - Domestic,46,Lifesciences,EY India M&A Report 2026,2025
NA (2021-2025 cohort),Jupiter Life-Line,NA (IPO - public listing),Healthcare / Hospitals,"NA (issue size INR8,690 Mn stated; no USD given)",IPO,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
NA (2021-2025 cohort),KIMS,NA (IPO - public listing),Healthcare / Hospitals,"NA (issue size INR21,437 Mn stated; no USD given)",IPO,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
Aug-2022,Kingsway Hospitals,KIMS,Healthcare / Hospitals (standalone hospital acquisition - West/Central),NA,Acquisition,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
July,Lannett Company,Aurobindo Pharma,Pharmaceuticals,250,Outbound,100,Lifesciences,ey_india_ma_report_q3_2025,2025
Jul-2025,Lannette Company,Aurobindo Pharma,Pharmaceuticals,250,M&A - Outbound,100,Lifesciences,EY India M&A Report 2026,2025
Aug-2024,Lokmanya,Unaprime,Healthcare / Hospitals,"NA (INR2,000 Mn stated; no USD given)",PE Investment,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
Apr-2023,Manipal (Manipal Health Enterprises),Temasek,Healthcare / Hospitals,"NA (INR2,04,800 Mn stated; no USD given)",PE Investment,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
NA (2021-2025 cohort),Medanta,NA (IPO - public listing),Healthcare / Hospitals,"NA (issue size INR22,056 Mn stated; no USD given)",IPO,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
Apr-2023,Medeor,Fortis,Healthcare / Hospitals (standalone hospital acquisition - North),NA,Acquisition,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
Sep-2025,Meitra,BMH,Healthcare / Hospitals (standalone hospital acquisition - South),NA,Acquisition,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
September,Meitra Hospital,KKR,Healthcare,125,Buyout,NA,Lifesciences,ey_india_ma_report_q3_2025,2025
Jul-2025,Micro Life Sciences,Abu Dhabi Investment Authority,Healthcare,200,PE - Growth,3,Lifesciences,EY India M&A Report 2026; ey_india_ma_report_q3_2025,2025
NA (2010-2015 cohort),Narayana Hrudayalaya,NA (IPO - public listing),Healthcare / Hospitals,"NA (issue size INR6,131 Mn stated; no USD given)",IPO,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
Jun-2025,Naruvi,BMH,Healthcare / Hospitals (standalone hospital acquisition - South),NA,Acquisition,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
Jun-2025,Paras Health,360ONE Asset,Healthcare / Hospitals,"NA (INR1,700 Mn stated; no USD given)",PE Investment,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
Feb-2023,Pratiksha,Marengo Asia,Healthcare / Hospitals (standalone hospital acquisition - North),NA,Acquisition,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
Jul-2024,Queen's NRI,KIMS,Healthcare / Hospitals (standalone hospital acquisition - South),NA,Acquisition,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
Sep-2023,Regency Health,Norwest,Healthcare / Hospitals,"NA (INR4,500 Mn stated; no USD given)",PE Investment,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
Apr-2025,SRV Hospitals,InvAscent,Healthcare / Hospitals,"NA (INR1,400 Mn stated; no USD given)",PE Investment,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
Dec-2023,Sahara,Max,Healthcare / Hospitals (standalone hospital acquisition - North),NA,Acquisition,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
July,Sahyadri Hospitals,Manipal Health Enterprises,Healthcare,702,Domestic,100,Lifesciences,EY India M&A Report 2026; ey_india_ma_report_q3_2025,2025
Jul-2025,Sahyadri Hospitals,"Manipal Health Enterprises (backed by Novo Holdings, CalPERS, Mubadala Investment Company, Temasek)",Healthcare Providers,752,Buyout,NA,Lifesciences,Deloitte Asia Pacific PE 2026 Almanac - India Edition,2025
Jul-2025,Sahyadri Hospitals,"Manipal Health Enterprises (backed by Novo Holdings, CalPERS, Mubadala, Temasek)",Healthcare Providers,752,Trade Sale,NA,Lifesciences,Deloitte Asia Pacific PE 2026 Almanac - India Edition,2025
Aug-2025,Sai Life Sciences,NA,Pharma,306,Others (PE exit),NA,Lifesciences,Deloitte Asia Pacific PE 2026 Almanac - India Edition,2025
Nov-2024,Saideep,Sahyadri,Healthcare / Hospitals (standalone hospital acquisition - West/Central),NA,Acquisition,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
Jan-2024,Sanar,Shalby,Healthcare / Hospitals (standalone hospital acquisition - North),NA,Acquisition,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
NA (2016-2020 cohort),Shalby,NA (IPO - public listing),Healthcare / Hospitals,"NA (issue size INR5,048 Mn stated; no USD given)",IPO,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
Feb-2025,Shrimann,Fortis,Healthcare / Hospitals (standalone hospital acquisition - North),NA,Acquisition,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
Sep-2022,Sparsh,Narayana,Healthcare / Hospitals (standalone hospital acquisition - South),NA,Acquisition,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
Feb-2025,UAIMS,KIMS,Healthcare / Hospitals (standalone hospital acquisition - West/Central),NA,Acquisition,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
NA (2021-2025 cohort),Yatharth,NA (IPO - public listing),Healthcare / Hospitals,"NA (issue size INR6,866 Mn stated; no USD given)",IPO,NA,Lifesciences,KPMG Multi-speciality hospitals in India: Evolution of hospital deals post COVID,2025
Jan-2025,Access Healthcare,New Mountain Capital,Technology,1500,PE - Buyout,NA,Technology,EY India M&A Report 2026,2025
January,Access Healthcare Services,New Mountain Capital,Technology,1400,Buyout,70,Technology,Deloitte Asia Pacific PE 2026 Almanac - India Edition; ey_transactions_newsletter_h1_2025,2025
Sep-2025,Axtria,Kedaara Capital,Technology,240,PE - Growth,NA,Technology,EY India M&A Report 2026; ey_india_ma_report_q3_2025,2025
Dec-2025,Coastal Cloud,TCS,Technology,700,M&A - Outbound,100,Technology,EY India M&A Report 2026,2025
Aug-2025,Digital Transformation Business Unit of Harman,Wipro,Technology,375,M&A - Outbound,100,Technology,EY India M&A Report 2026; ey_india_ma_report_q3_2025,2025
Dec-2025,Encora Digital,Coforge,Technology,2350,M&A - Outbound,100,Technology,EY India M&A Report 2026,2025
Feb-2025,Hexaware Technologies,NA (IPO - public listing),Software,1000,IPO,NA,Technology,Deloitte Asia Pacific PE 2026 Almanac - India Edition,2025
Jan-2025,Impetus Technologies,Kedaara Capital Investment Managers,Technology,350,PE - Growth,NA,Technology,EY India M&A Report 2026,2025
January,Impetus Technologies,Kedaara Capital,Technology,350,Buyout,NA,Technology,ey_transactions_newsletter_h1_2025,2025
Dec-2025,InMobi Technologies,"Varde Partners, Elham Credit Partners and SeaTown Holdings",Technology,350,PE - Credit,NA,Technology,EY India M&A Report 2026,2025
February,Irelia Sports India,Torrent Group & Torrent Investments,Media and entertainment,578,Domestic,67,Technology,ey_transactions_newsletter_h1_2025,2025
Oct-2025,LTI Mindtree,Life Insurance Corp of India,Technology,331,M&A - Domestic,2,Technology,EY India M&A Report 2026,2025
July,Northern Superchargers,Sun TV Network,Media and Entertainment,135,Outbound,100,Technology,ey_india_ma_report_q3_2025,2025
Jun-2025,SLK Software,Altimetrik Corp,Technology,500,M&A - Inbound,100,Technology,EY India M&A Report 2026; ey_transactions_newsletter_h1_2025,2025
Jun-2025,SLK Software,Altimetrik Corp. (backed by TPG),Software,600,Buyout,NA,Technology,Deloitte Asia Pacific PE 2026 Almanac - India Edition,2025
September,Sojern,Rategain Travel Technologies,Media and Entertainment,250,Outbound,100,Technology,ey_india_ma_report_q3_2025,2025
Oct-2025,Uniphore Software Systems,"March Capital Partners Fund I LP, National Grid Partners, Nvidia Corp., Others",Technology,260,PE - Growth,10,Technology,EY India M&A Report 2026,2025
Jan-2025,Wingify Software,Everstone Capital Asia,Technology,300,PE - Buyout,>50,Technology,EY India M&A Report 2026,2025
January,Wingify Software,Everstone Capital; Mankekar Family office; Enrich Agro Food Products,Technology,200,Buyout,81,Technology,ey_transactions_newsletter_h1_2025,2025
NA,Abbot Point Port Holdings Pte Ltd,Adani Ports and Special Economic Zone Ltd,NA,2074,Outbound; 100% Acquisition (seller: Carmichael Rail and Port Singapore Holdings),100,Infrastructure,PwC Deals at a glance: Annual Review 2025,2025
January,Chandigarh Power Distribution,Sanjiv Goenka Group,Transmission and distribution,100,Domestic,NA,Infrastructure,ey_transactions_newsletter_h1_2025,2025
September,Classic Vacations,TBO Tek,Professional Services,125,Outbound,100,Consumer Products and Retail,ey_india_ma_report_q3_2025,2025
NA,Encora Digital LLC,Coforge Ltd,NA,2350,"Outbound; 100% Acquisition, PE exit (sellers: Warburg Pincus, Advent International)",100,Technology,PwC Deals at a glance: Annual Review 2025,2025
Mar-2025,Haldiram Snacks Food,"Temasek, Alpha Wave Global",F&B,1500,Others (PE investment),NA,Consumer Products and Retail,Deloitte Asia Pacific PE 2026 Almanac - India Edition,2025
NA,Hypervault AI Data Center Ltd,"Tata Consultancy Services Ltd, TPG Terabyte Bidco",NA,2032,Domestic; PE backed joint venture,NA,Technology,PwC Deals at a glance: Annual Review 2025,2025
Jul-2025,Island Star Mall Developers,Phoenix Mills,Real Estate,632,M&A - Domestic,49,Unclassified,EY India M&A Report 2026,2025
NA,Iveco Group N.V.,Tata Motors Ltd,NA,4535,Outbound; 100% Acquisition,100,Industrials and Auto,PwC Deals at a glance: Annual Review 2025,2025
NA,RBL Bank Ltd,Emirates NBD PJSC,NA,4388,Inbound; Majority stake acquisition,NA,Financial Services,PwC Deals at a glance: Annual Review 2025,2025
NA,Sapient Finserv Pvt Ltd,Equirus Capital Pvt Ltd,NA,3943,Domestic; Merger,NA,Financial Services,PwC Deals at a glance: Annual Review 2025,2025
Jul-2025,Schneider Electric India,Schneider Electric,Capital Goods,6400,Trade Sale,35%,Industrials and Auto,Deloitte Asia Pacific PE 2026 Almanac - India Edition,2025
NA,Schneider Electric India Pvt Ltd,Schneider Electric SE,NA,6327,"Inbound; Acquisition, PE exit (seller: Temasek Holdings)",NA,Industrials and Auto,PwC Deals at a glance: Annual Review 2025,2025
NA,Shriram Finance Ltd,MUFG Bank Ltd,NA,4398,Inbound; Strategic investment,NA,Financial Services,PwC Deals at a glance: Annual Review 2025,2025
Nov-2025,Tata Consultancy Services,TPG,Business Services,1000,PIPE,NA,Technology,Deloitte Asia Pacific PE 2026 Almanac - India Edition,2025
NA,WNS Holdings Ltd,Capgemini SE,NA,3862,"Inbound; 100% Acquisition, PE exit (seller: Nalanda Capital)",100,Technology,PwC Deals at a glance: Annual Review 2025,2025
